911 876
261 720 219
870 227 -479
54 696 697
843 103 162
90 686 -47
175 23 -235
382 155 77
891 748 -138
659 624 889
588 279 330
489 34 -715
192 647 242
74 717 -75
371 261 300
542 476 -496
569 758 845
278 223 -269
242 466 -523
380 872 39
281 785 -227
832 77 -418
9 582 -836
87 153 -21
575 879 861
171 313 -449
781 826 499
347 55 -113
301 539 -777
645 311 -707
715 110 47
821 108 397
791 860 -27
115 715 -27
827 185 432
736 357 -806
333 427 -2
339 507 -836
280 736 89
499 5 -758
115 320 307
215 287 560
555 357 -765
369 24 -431
864 390 -565
85 601 -864
496 582 -592
178 170 -29
654 530 -344
17 408 -617
622 591 -422
34 781 335
638 411 -515
490 98 705
229 259 420
207 793 807
308 5 705
308 451 -430
242 17 -212
350 6 586
291 569 -448
234 877 -988
734 187 317
738 768 -703
876 306 444
442 392 -613
23 12 173
69 704 -589
843 774 414
627 881 -333
31 881 -491
837 580 513
124 536 789
507 472 -764
154 798 668
579 537 5
432 162 672
203 249 664
319 109 -55
487 857 -842
771 530 771
910 717 -865
258 632 -675
333 800 549
243 864 -872
8 57 -596
424 680 -251
514 546 -830
590 125 446
524 708 608
154 453 -84
400 221 -936
380 529 726
568 492 -811
523 86 833
81 266 -942
776 155 858
416 123 -133
474 677 823
243 601 -325
294 100 382
267 377 -631
25 584 782
661 190 -911
900 221 -762
342 254 -374
77 326 985
76 559 349
616 41 -578
895 778 57
687 299 280
545 872 46
763 729 -596
147 532 942
207 328 452
749 821 -840
738 297 -364
59 15 420
1 180 521
395 93 -816
351 595 998
250 511 809
728 399 -872
310 640 484
844 760 202
156 567 346
862 708 -798
104 24 -755
64 362 281
172 5 -105
626 115 14
28 423 51
543 830 493
399 489 911
384 161 388
443 334 -153
200 763 -112
558 809 962
85 78 993
551 876 103
649 442 -19
226 380 621
833 608 249
843 121 -474
717 17 811
784 537 -431
335 714 -813
428 656 864
866 558 797
68 740 -303
147 716 -273
362 163 398
302 493 -195
672 906 -52
221 888 -206
871 112 421
515 403 -63
700 27 819
226 176 843
358 409 -966
552 98 44
465 558 985
909 812 -501
834 697 329
729 120 -149
904 597 -319
333 397 333
130 254 -612
587 147 8
792 218 641
305 109 -237
554 185 -973
255 571 -583
414 742 -499
344 741 625
22 778 -141
21 164 -950
170 101 -742
869 639 -72
275 380 -182
696 710 -713
717 676 781
664 870 442
651 388 -504
342 531 -769
283 194 -836
753 60 340
301 593 863
361 301 477
425 122 580
691 734 -611
469 434 812
545 580 947
527 113 -669
759 492 -121
566 326 -513
642 274 -393
904 306 603
138 813 754
475 857 683
430 651 385
871 347 -603
165 803 908
438 792 514
639 218 -232
8 142 347
847 658 166
621 66 625
818 38 -464
343 273 -73
772 479 -23
654 471 79
606 846 653
703 506 987
388 383 -456
368 679 -745
167 675 -451
364 884 -784
610 331 577
856 98 -430
477 871 326
566 227 -715
516 467 13
262 469 -905
49 526 -892
204 713 -379
481 899 -10
64 310 -832
567 763 -367
154 793 -84
663 438 -712
481 64 36
667 878 -861
326 142 -881
441 657 -568
98 840 -785
618 556 15
74 845 -459
337 782 -288
2 450 128
702 507 106
577 237 834
572 14 976
659 511 715
911 249 -705
654 414 142
498 832 -534
526 259 -493
908 112 -696
816 906 -9
98 178 -711
331 345 134
19 907 -903
802 798 341
645 719 929
819 621 -61
878 316 -406
674 268 4
710 628 692
872 20 -368
640 588 -27
24 366 771
47 14 -511
615 881 -183
94 595 601
224 143 -163
413 469 478
883 366 -944
522 374 -397
471 315 -732
585 527 -915
780 557 829
679 93 256
735 160 317
736 270 133
20 411 144
482 12 -632
20 417 -766
127 906 785
302 583 -519
174 209 143
773 23 -995
773 309 -428
729 273 -196
602 486 196
806 626 -377
19 655 -294
233 384 353
867 661 -343
116 432 -26
460 347 74
856 788 -535
813 167 582
183 669 276
897 601 455
505 79 -858
140 285 -14
227 74 -684
64 140 -689
471 327 -102
648 581 -258
390 783 -747
576 614 757
894 238 -912
205 706 133
455 755 876
875 6 75
616 799 -716
139 72 -168
716 5 174
172 893 493
16 186 -763
12 795 -348
826 354 -422
230 384 -269
552 803 -301
644 179 -706
652 263 334
170 815 -685
752 118 -753
123 56 997
281 153 -299
673 38 -607
3 666 31
678 670 -495
815 138 384
467 799 824
217 161 157
493 903 -963
575 725 -377
775 373 97
709 31 -525
397 730 -227
421 242 819
45 652 780
440 12 -377
563 84 -411
783 315 -724
54 299 420
863 562 -861
181 569 430
388 293 -344
777 663 -962
340 113 845
471 676 408
173 275 144
662 534 -456
357 30 -32
459 505 -718
337 903 351
212 101 402
355 818 843
66 670 -637
870 906 581
286 901 -82
606 796 -766
666 42 -640
420 57 -946
807 46 757
204 346 468
333 282 424
158 53 613
598 486 529
815 819 516
436 671 844
426 251 -625
155 521 767
502 705 -587
854 343 5
861 714 563
620 249 -926
656 451 110
21 766 890
393 419 -10
224 610 -745
239 159 -20
21 31 820
439 64 654
284 367 -909
736 531 -308
195 627 741
142 824 -500
503 270 258
445 220 -612
686 841 310
662 185 -767
474 732 -77
435 670 -79
103 783 -628
831 862 -813
243 781 539
360 715 621
181 200 -460
220 681 140
833 165 -101
708 66 305
204 215 494
664 440 -117
718 2 931
656 309 415
875 225 513
186 165 886
470 168 586
218 701 483
57 805 -82
243 412 -314
357 706 741
780 620 989
231 636 -256
51 868 339
18 500 -89
733 662 772
513 506 -710
358 671 -411
190 639 234
85 729 -375
351 765 -891
754 260 190
453 340 663
18 292 -230
328 754 -549
362 118 388
153 323 987
139 90 -117
243 173 668
114 865 475
316 541 -906
477 634 -896
65 904 274
543 139 -262
435 334 33
89 169 980
627 821 940
790 266 777
670 225 -215
636 557 -494
364 382 206
187 301 902
604 899 566
877 231 -335
380 891 -638
717 549 -910
329 246 126
800 586 -545
388 50 144
729 180 -390
318 189 -115
332 88 875
13 52 -415
291 210 180
476 893 -555
526 217 371
35 502 -402
479 219 881
501 101 509
295 427 -19
113 116 -127
607 89 -938
34 649 -105
22 32 -382
381 14 322
391 788 -367
555 480 -449
612 530 59
587 95 -492
137 115 -681
191 4 -506
310 227 965
385 325 73
12 585 -346
160 48 594
362 438 892
75 639 -694
587 909 7
232 396 -314
195 861 795
649 727 676
896 513 647
759 333 -667
310 816 552
634 273 -672
583 775 921
299 261 516
476 221 -471
770 835 131
827 354 887
606 840 -622
301 181 -21
140 277 492
97 589 -243
166 733 -374
887 32 -614
249 909 96
286 156 -348
227 852 586
316 344 182
498 549 219
531 540 -316
659 464 179
773 216 -141
406 293 652
151 181 967
810 894 928
623 794 829
208 266 -960
88 864 233
730 294 -14
582 565 661
444 605 386
458 537 -121
446 680 37
855 37 -631
261 731 823
782 299 487
279 641 141
747 707 27
354 900 488
145 578 -901
771 863 -585
158 114 -823
855 587 -223
385 270 817
537 594 -30
446 81 -542
88 25 123
482 733 468
247 481 534
373 278 772
825 793 -60
296 411 115
468 11 348
791 548 662
4 285 907
371 248 -489
292 233 -915
21 470 -296
454 108 195
511 342 400
683 365 -326
125 69 -208
275 159 -4
633 140 40
289 172 -531
800 849 -614
890 835 -370
320 572 -270
742 900 -372
412 702 -68
593 882 243
833 344 960
706 149 749
98 700 -787
351 450 863
430 635 -366
729 540 216
420 528 64
794 648 331
129 653 -489
194 713 -435
594 436 -501
129 650 734
436 501 -411
836 223 100
356 498 -51
86 41 15
103 312 768
324 303 -312
83 535 731
406 724 316
669 299 -588
271 546 -400
191 321 407
525 560 866
623 706 133
12 628 -907
653 288 -738
663 751 -426
728 242 -126
268 343 -507
576 746 -612
315 746 -153
133 243 729
723 61 741
173 8 -765
178 197 832
474 53 -839
699 766 -101
59 534 -262
777 483 -675
779 565 -702
898 348 81
111 101 -148
73 160 -648
423 227 781
403 517 21
118 749 238
314 850 457
275 751 694
628 251 -73
894 448 -367
607 134 -708
672 314 -812
317 300 -376
668 72 -798
143 582 826
7 195 758
275 361 997
166 544 521
893 851 828
176 233 774
67 183 941
698 42 -882
834 604 195
877 465 762
684 312 511
15 277 313
109 803 605
63 53 -661
113 771 -260
701 100 -408
240 779 -853
694 320 494
344 741 -879
658 151 -405
90 601 580
820 501 248
845 86 -322
759 692 -79
631 553 948
548 467 -312
707 135 -599
526 383 175
268 771 -1000
404 453 -189
94 274 -830
255 643 926
113 590 -330
126 234 429
381 881 -88
537 279 834
123 56 -35
36 368 138
735 813 -920
590 238 -571
488 852 159
778 208 -153
81 88 402
31 267 -902
715 852 -551
810 153 226
494 505 -775
618 125 -755
655 716 382
829 784 211
323 333 159
539 832 -614
383 110 986
379 430 -152
104 421 -856
440 121 11
341 828 -688
269 11 18
578 601 -922
547 841 611
282 607 -236
271 387 -929
846 679 21
508 253 -520
550 363 -570
873 856 7
393 152 -296
112 536 799
824 693 -687
444 337 741
396 757 -151
437 901 -647
159 579 -794
816 237 530
263 526 -391
609 568 790
773 55 156
755 433 853
758 701 -706
619 142 -403
748 362 56
767 549 907
571 898 -163
427 850 367
714 298 49
402 50 -348
236 726 -817
627 697 -932
529 95 -864
488 452 -374
214 324 829
243 517 182
70 493 -587
583 94 390
101 92 -465
608 544 -464
278 782 831
788 676 -715
834 841 167
337 326 -892
40 595 -563
232 475 -415
668 453 -172
161 545 243
409 152 395
407 899 672
411 36 648
280 283 147
141 252 -674
825 696 859
570 388 622
639 169 -62
455 171 101
31 185 364
877 134 -364
615 256 639
319 510 -988
727 100 -352
181 62 -203
445 416 -523
841 130 908
568 266 838
267 97 935
498 395 -459
193 494 181
431 56 724
687 52 -17
28 60 930
251 6 281
691 573 -770
694 785 -311
905 757 -337
763 462 990
516 95 -342
769 901 -71
109 545 991
625 652 273
23 504 88
121 429 -964
83 695 379
765 14 831
388 712 -659
40 441 -941
736 640 517
817 888 -606
114 196 741
404 713 355
837 599 473
233 715 -399
169 894 -744
515 746 -367
653 769 761
859 205 -497
858 811 339
25 591 285
876 834 -871
200 75 307
637 253 -143
871 366 -511
562 45 -808
822 78 162
521 399 137
472 597 557
849 357 -198
412 759 -529
3 149 -871
893 778 -609
481 651 -573
847 177 -647
396 773 750
111 699 -590
811 434 -56
123 425 454
185 394 -724
116 211 954
671 5 140
140 685 -40
878 744 -938
97 581 302
721 16 835
316 163 225
573 837 -20
276 707 -838
121 616 793
372 571 948
364 86 180
575 66 125
141 190 706
197 166 -854
185 170 -913
632 682 -155
463 128 -395
115 87 -739
396 130 770
672 818 957
542 19 -133
892 252 335
250 388 -249
687 95 -648
653 758 -496
728 333 714
372 645 -94
729 322 -48
696 636 -644
712 909 -439
29 268 -914
222 449 625
724 764 230
613 751 191
833 543 -98
483 42 -642
210 572 -493
342 871 901
505 775 -335
393 654 -295
877 12 -50
87 558 -367
290 56 -652
410 688 -491
738 382 -796
422 608 -328
347 418 915
262 82 -681
182 862 660
470 534 -955
595 881 -966
471 351 -917
470 150 51
516 80 -698
296 295 388
458 388 -826
400 646 -333
743 627 273
904 220 82
269 460 472
286 83 275
83 780 273
822 552 -523
301 601 270
483 268 886
281 663 -349
298 904 -568
98 463 -52
362 399 -167
220 757 -445
180 322 183
22 543 -357
484 652 505
401 173 -375
485 576 144
563 92 -703
910 679 230
112 839 292
399 549 719
249 600 879
239 225 -401
371 172 -298
505 191 200
869 411 -967
203 593 -530
22 504 525
701 404 -631
16 764 -670
473 399 499
793 31 -652
755 448 326
412 383 -884
248 219 -305
41 356 652
821 215 -911
481 485 613
687 173 -118
595 788 -496
