17
925 1959
282 392 724
332 38 492
632 253 991
623 260 497
788 416 622
781 476 552
19 162 550
123 96 993
521 173 594
417 578 739
820 382 190
272 400 57
630 318 838
847 509 237
844 706 940
370 547 195
597 387 809
74 618 674
375 215 830
380 139 344
378 833 60
437 393 18
583 647 399
574 466 658
37 349 254
39 881 937
346 401 559
730 124 126
904 666 51
741 16 688
617 630 735
296 576 861
845 348 450
778 821 318
23 347 358
664 227 685
138 915 527
248 891 738
755 476 732
162 62 728
774 500 483
636 551 598
311 442 60
698 47 559
59 240 269
434 483 95
448 339 333
374 326 1
93 302 340
893 569 978
62 117 741
474 504 149
187 755 298
52 837 367
892 840 30
597 733 681
710 866 980
441 54 770
482 394 474
690 659 437
58 115 274
490 667 249
592 590 495
508 606 704
840 678 259
160 414 860
96 551 491
468 905 332
384 830 328
660 372 560
134 335 720
83 895 221
896 524 876
177 922 920
102 786 414
567 154 710
475 685 32
245 350 834
455 124 982
773 232 275
525 224 159
776 853 66
558 554 434
755 485 975
463 469 221
361 567 419
718 136 254
455 292 402
178 323 100
857 777 422
27 82 999
891 431 14
355 787 472
450 144 648
851 796 550
402 745 648
885 458 350
628 745 37
477 258 507
148 126 356
717 664 434
58 421 285
341 728 315
341 221 619
66 476 574
461 196 327
137 27 293
370 32 442
487 229 19
502 208 666
867 899 60
800 262 145
230 658 852
760 325 441
478 42 650
139 307 619
551 810 303
250 133 636
661 514 607
89 427 743
639 856 464
470 242 260
313 247 490
186 165 865
408 334 183
736 300 818
261 895 975
519 593 157
685 650 684
645 817 588
361 343 611
229 202 459
536 564 960
151 11 547
114 780 517
660 35 859
782 300 490
47 68 776
519 156 233
670 592 815
872 799 11
130 19 438
651 639 637
525 419 966
906 744 201
347 11 778
570 432 108
72 417 494
624 910 313
374 776 450
825 403 353
431 95 600
386 802 570
246 824 540
612 281 681
274 905 490
277 139 722
7 353 861
921 35 20
370 131 635
65 192 116
295 708 213
635 464 99
158 37 758
679 896 54
124 520 855
650 32 759
827 662 858
204 150 197
33 491 613
682 231 582
275 344 864
446 505 197
653 770 364
256 216 744
279 436 999
5 214 996
90 469 990
334 623 778
375 724 581
391 59 738
116 429 567
579 758 574
340 342 952
26 615 192
741 718 573
52 532 156
581 218 177
722 824 497
643 668 750
379 673 254
561 705 414
771 651 12
622 820 323
408 263 646
658 229 315
871 568 636
830 142 957
329 679 561
764 459 415
292 265 98
702 413 625
646 32 532
349 237 307
167 710 339
540 309 833
335 37 559
16 36 429
279 453 583
748 880 791
525 531 280
787 286 628
552 696 710
495 153 114
615 198 705
180 650 826
517 646 428
45 61 363
709 34 85
536 512 7
186 357 13
750 504 836
530 49 986
9 474 815
10 700 223
643 527 921
184 231 204
130 706 210
571 882 260
605 316 986
716 235 925
103 689 509
227 8 3
70 843 866
268 294 695
73 842 985
437 197 515
605 75 186
67 92 412
469 607 233
248 327 778
115 319 399
487 740 913
75 147 998
51 699 511
265 777 18
848 642 359
56 846 129
14 855 814
112 917 208
279 366 680
919 739 565
836 496 126
310 81 10
408 370 484
365 225 496
896 335 335
471 701 943
612 493 388
845 491 480
736 503 724
17 666 614
10 84 533
547 122 9
102 682 391
662 627 917
792 147 998
366 300 911
281 854 78
402 609 129
53 885 216
710 718 173
224 453 32
760 832 901
316 907 13
492 200 741
517 915 250
465 578 373
456 870 577
731 422 809
511 467 763
601 913 248
375 53 937
290 549 942
752 139 924
13 413 786
689 658 216
23 509 570
328 14 364
155 497 648
790 15 553
516 772 298
126 134 981
315 420 925
583 734 651
907 372 123
397 739 533
735 682 155
251 554 58
767 57 745
227 316 55
828 430 182
133 393 28
425 396 657
275 502 811
565 776 482
17 227 628
247 694 724
573 406 212
379 913 62
232 234 216
580 802 535
360 413 603
163 764 189
394 688 627
905 344 559
529 281 931
213 304 65
328 906 51
599 214 849
745 572 565
256 888 219
604 210 787
732 585 334
795 839 725
823 244 826
924 821 520
599 143 294
12 435 267
200 338 754
337 589 813
868 602 202
521 624 60
390 439 207
358 923 552
100 808 269
544 439 58
756 6 846
809 103 438
398 455 632
535 834 278
546 602 53
870 855 881
604 814 650
914 37 349
313 499 867
237 176 429
520 63 17
155 617 370
91 248 459
791 655 662
430 459 109
747 334 298
729 502 256
62 478 297
97 688 970
95 190 198
761 633 419
401 213 841
653 306 692
3 30 488
143 783 692
665 380 771
441 93 420
485 210 724
539 709 999
733 730 779
737 167 912
184 103 26
686 831 330
121 180 526
447 914 181
56 102 565
264 804 17
558 237 433
600 316 722
518 105 46
698 329 455
357 771 793
159 40 253
444 463 218
37 861 230
466 879 292
307 329 293
466 461 992
690 302 6
601 825 855
25 685 113
