852 2811
271 510 616
538 107 940
141 449 426
415 93 514
287 390 78
181 372 696
582 217 644
233 778 224
758 225 645
418 598 138
466 223 916
202 750 304
693 311 511
152 467 805
573 187 239
112 224 819
231 524 760
757 462 166
62 314 386
731 661 451
458 851 569
136 85 185
677 574 561
359 35 296
22 11 424
718 822 946
540 275 536
834 577 371
777 610 356
420 157 202
445 92 939
589 844 351
387 690 889
818 314 241
107 436 696
486 309 224
534 763 793
626 210 621
705 737 130
189 161 596
112 392 154
451 167 387
754 445 783
76 545 423
178 575 32
341 464 376
796 544 183
253 829 322
202 406 85
744 681 939
145 387 497
689 699 289
246 496 876
333 846 654
447 252 190
590 347 522
216 172 322
631 795 666
809 604 847
305 70 602
202 646 132
164 578 492
315 293 160
689 559 346
535 242 301
248 7 937
729 451 306
121 136 788
563 111 215
170 509 312
85 823 307
484 94 38
690 590 169
552 18 490
651 618 451
39 714 414
75 571 254
148 666 921
759 149 332
147 168 873
187 760 835
414 710 206
486 65 334
185 17 634
840 96 13
287 123 925
340 526 316
408 388 320
495 400 622
360 312 854
308 689 139
202 488 203
421 561 8
65 184 800
422 66 861
643 140 250
171 355 132
516 266 639
218 133 306
251 226 473
471 843 912
476 467 164
248 643 89
574 439 246
68 407 192
579 519 21
736 849 829
106 452 475
508 623 383
506 385 18
241 830 3
821 520 944
245 762 201
55 702 478
438 313 849
731 237 779
182 111 886
141 490 314
52 220 363
261 683 538
143 595 757
272 9 426
308 684 438
402 734 375
150 594 328
599 412 11
75 365 362
748 264 153
497 379 647
659 118 89
638 236 384
849 51 371
26 228 682
203 829 378
609 543 386
284 59 100
441 345 622
820 511 404
327 650 506
678 97 134
707 644 478
156 94 496
515 817 80
451 470 160
714 450 435
813 652 601
7 395 707
134 98 167
702 229 771
571 720 720
186 357 591
852 81 49
46 417 661
619 599 416
843 256 779
386 606 837
737 720 475
2 848 114
637 299 599
790 64 802
241 750 55
472 663 716
552 809 425
817 784 924
698 705 755
409 622 876
40 431 656
132 349 412
364 616 169
8 577 997
195 167 303
440 433 235
479 633 732
726 72 939
361 468 155
166 300 456
396 392 248
715 689 254
275 849 752
341 183 281
736 179 712
210 596 224
332 420 356
575 162 988
778 485 207
116 394 304
181 710 807
694 9 668
58 460 796
92 69 535
92 20 524
444 216 273
265 752 469
763 557 777
580 588 305
802 186 798
570 493 872
619 353 80
329 463 686
702 17 782
265 293 86
382 293 71
661 664 211
572 469 548
288 168 853
817 47 818
319 749 721
49 216 703
456 580 24
545 305 781
315 729 387
336 483 825
793 830 146
638 213 78
805 85 417
400 407 587
819 505 782
564 476 413
512 20 483
834 21 405
737 269 376
315 548 120
816 124 833
474 757 885
222 190 808
845 789 403
471 168 379
497 402 972
432 28 472
584 751 606
824 134 486
146 496 903
309 35 890
820 454 134
584 463 992
571 85 471
502 414 969
634 521 838
3 440 99
91 802 676
424 713 93
762 433 119
519 526 486
92 68 970
797 508 107
274 30 760
300 60 577
593 519 536
411 308 742
283 785 577
636 205 757
701 802 670
612 169 732
607 371 317
335 246 916
812 450 960
133 470 578
628 252 366
549 190 623
225 136 380
8 323 679
65 827 999
443 742 451
776 89 467
407 803 196
787 134 198
484 364 434
692 672 930
79 375 706
595 834 292
237 653 723
419 724 564
733 380 629
428 687 182
137 519 112
185 112 26
399 310 41
551 1 411
519 267 603
740 262 706
403 801 661
579 798 545
571 617 569
106 432 984
346 255 513
839 446 722
465 671 964
43 359 478
443 770 962
727 720 55
95 757 452
655 268 439
782 548 267
381 207 515
362 441 413
535 811 19
676 97 103
324 407 886
11 608 641
809 729 441
679 672 162
526 637 65
585 333 889
168 525 7
76 382 104
328 764 277
569 700 770
479 839 162
61 707 371
183 282 651
625 747 472
380 843 42
734 559 554
209 33 532
723 671 793
732 627 517
488 219 803
170 301 895
310 44 441
821 620 153
709 519 270
590 400 873
750 96 220
50 532 253
409 640 809
347 342 718
326 384 652
145 80 614
5 62 651
814 588 732
525 337 901
90 88 848
567 701 837
583 492 889
439 263 425
439 316 675
578 29 729
489 493 647
610 574 351
474 30 361
749 144 602
790 328 442
686 223 782
697 53 156
593 25 93
770 829 580
614 768 874
402 805 636
840 313 769
15 407 481
587 53 172
322 11 791
11 152 826
418 65 344
716 201 550
503 395 37
15 338 888
267 846 810
835 71 316
764 777 46
492 82 171
339 53 412
435 377 195
143 59 362
735 671 567
801 84 811
231 753 686
624 203 612
386 769 238
200 773 391
311 563 828
644 794 555
774 583 801
479 824 229
455 498 528
589 627 263
26 61 955
602 681 464
269 692 835
548 226 539
543 309 437
103 58 775
281 107 296
233 824 268
747 355 283
223 104 603
372 255 687
550 846 866
10 405 879
66 687 292
505 776 259
262 245 722
445 713 694
22 98 849
143 329 563
291 732 739
835 728 885
202 638 629
342 48 786
650 555 34
729 757 369
839 750 862
1 690 263
746 356 842
545 379 193
6 123 581
237 97 718
840 607 457
170 52 77
100 320 784
287 673 802
1 36 739
736 769 589
667 651 83
30 753 445
298 402 998
439 597 221
227 124 724
733 483 717
342 720 212
847 27 735
700 26 171
286 541 159
264 94 159
138 83 531
121 765 333
266 530 292
845 637 948
99 77 618
322 474 108
740 779 204
49 221 728
490 76 650
234 739 73
487 760 496
427 222 107
323 190 254
505 375 233
712 147 563
159 346 134
350 683 271
118 783 161
12 196 587
365 404 576
596 230 32
332 144 484
84 545 516
477 685 248
783 485 755
139 155 450
66 517 240
144 190 557
21 148 393
816 269 454
66 135 891
541 471 669
701 802 858
720 721 411
578 322 926
546 717 334
57 65 446
255 248 104
475 756 587
288 530 316
162 820 426
75 818 75
106 737 16
10 589 666
829 532 349
1 593 963
480 777 375
281 465 436
77 728 854
62 715 346
746 639 214
95 821 787
63 154 67
530 754 729
534 320 969
662 619 695
491 370 196
601 370 917
382 256 155
753 758 408
182 424 679
549 714 70
525 670 401
610 782 132
287 620 152
382 630 628
171 549 542
740 770 230
674 15 970
618 397 405
594 769 419
67 318 873
776 738 900
585 740 122
165 728 692
115 357 479
700 630 596
390 439 293
247 767 678
194 358 361
655 360 688
290 639 387
410 46 397
44 75 808
437 449 558
729 625 673
412 486 366
742 495 65
783 39 589
135 75 605
735 26 548
714 268 285
38 611 305
427 326 318
721 545 526
302 638 602
774 600 156
442 128 494
223 631 931
158 323 10
126 441 731
737 46 77
265 788 913
846 217 27
230 636 221
393 283 708
715 575 945
419 393 924
38 572 604
369 529 471
312 170 280
157 442 325
519 435 859
70 71 785
195 268 984
65 136 57
704 464 477
463 12 305
668 745 336
132 694 227
690 355 34
443 442 935
827 445 158
689 103 297
614 388 120
217 283 990
501 420 132
159 756 747
696 509 485
466 368 910
596 785 325
668 290 805
65 807 468
841 771 806
434 147 531
577 197 17
82 628 821
19 138 320
177 116 559
368 436 371
392 837 576
556 442 40
545 484 23
670 619 966
823 368 80
636 523 878
141 513 335
244 829 93
263 168 588
546 796 689
793 109 746
100 349 409
708 767 66
712 765 295
629 786 253
272 703 70
727 44 636
597 709 50
24 525 276
660 151 244
507 833 234
132 211 676
312 655 247
163 121 978
401 196 271
298 752 845
157 175 712
447 582 535
72 617 324
420 439 200
415 469 761
703 620 453
749 638 674
27 139 984
324 136 311
62 58 804
768 402 465
823 575 903
679 279 589
100 162 21
350 36 848
599 642 221
