18
834 857
558 505 -45
45 250 275
31 734 -807
635 658 304
65 775 845
13 108 -240
421 438 432
637 552 -223
385 495 783
379 816 -660
48 148 995
399 827 -510
823 680 882
535 393 696
295 277 38
755 30 653
70 67 24
571 201 484
387 92 558
818 141 -661
503 367 -111
556 122 -279
407 50 86
171 449 -38
191 787 929
145 496 -419
29 199 827
34 21 176
382 262 978
373 59 -268
510 642 338
499 117 327
46 414 124
814 138 -871
782 611 949
199 421 557
661 72 -143
173 121 776
111 440 487
639 571 -563
253 106 790
411 466 -382
608 270 504
400 206 -895
158 14 668
552 707 -970
515 303 177
614 11 335
759 69 785
140 276 554
658 122 721
176 797 19
82 70 -167
350 627 -955
671 755 -498
568 366 502
230 375 764
455 543 6
567 531 931
766 343 272
344 436 -97
813 806 -773
82 134 -33
659 691 487
495 680 193
403 590 234
391 827 254
83 133 746
796 691 -930
432 336 216
41 298 -586
303 762 347
46 782 -8
699 392 -383
375 203 -854
738 415 -842
631 452 183
385 643 -706
586 616 -807
511 693 452
94 198 449
552 667 -822
811 217 826
564 623 -903
795 205 -983
270 466 -809
426 429 473
363 436 -950
605 281 635
267 603 -374
667 725 865
234 423 750
701 791 468
578 710 -881
173 609 514
62 510 665
275 387 -984
294 596 474
675 51 612
252 504 -213
300 228 -431
465 191 147
750 708 -400
431 649 218
523 175 -850
204 305 552
607 451 -89
767 174 -427
309 87 508
142 618 262
137 689 220
405 33 -292
349 597 -311
134 60 -590
767 829 -72
292 818 -159
303 113 723
489 381 -934
639 202 -272
476 703 -137
141 377 861
714 755 220
792 125 -909
763 436 325
532 638 681
749 813 150
96 747 381
75 346 -753
594 164 843
437 227 -54
820 63 653
496 428 927
412 734 -339
226 317 449
282 295 490
243 29 673
604 161 -893
622 263 940
245 47 445
110 583 450
457 764 -957
763 306 115
466 475 183
826 440 -612
586 671 688
770 400 -375
213 145 -54
287 725 -497
380 588 -246
127 649 -457
119 563 -441
473 739 -594
43 164 -972
768 447 521
580 833 -30
458 529 -565
433 17 -238
442 104 -403
514 783 957
247 734 336
260 307 -801
313 73 686
293 470 -834
751 707 329
614 769 -64
714 29 -523
806 756 41
620 82 655
344 285 -39
12 29 412
622 162 757
716 692 360
733 558 -449
747 130 807
287 538 562
132 629 75
816 543 185
736 214 -444
187 442 748
484 7 307
511 764 -241
587 363 -391
411 615 699
641 288 -633
728 13 286
327 414 -665
311 762 124
323 430 769
619 551 -823
455 721 288
204 92 -570
833 215 -36
409 16 -756
364 324 -518
640 463 642
577 208 819
323 372 -316
809 293 -37
259 306 848
254 535 -917
368 434 -167
714 764 66
824 545 -359
