9154 26242
2857 2932 373
3108 2506 -347
8422 4558 529
2184 7442 -417
3997 6447 974
1019 3879 168
7920 4357 819
2541 3347 -270
693 579 305
1528 8669 -260
1500 298 964
1710 7823 -886
2178 7124 512
6659 1910 -904
5236 7910 21
9097 2640 934
2805 1940 160
3937 5748 856
7806 3671 729
4234 5770 -949
185 6985 956
1140 8848 -368
2302 1018 -48
7848 6460 -731
412 7720 -20
3257 9145 441
4654 7070 -149
3485 5716 22
4829 4807 -271
3175 8416 586
4523 3514 -70
4101 8440 -991
6509 8205 268
5542 7791 -458
2596 2107 -16
7611 6605 544
6536 794 -275
2631 716 -537
6141 2818 -736
8591 895 496
4776 2388 -674
1293 4343 -834
7933 8823 551
7386 205 -791
8377 413 646
7122 6765 -645
2885 6794 535
5816 791 699
4871 8997 88
1954 9037 278
5171 1155 -822
4686 673 -965
237 785 -329
6583 6268 737
3714 3866 -773
1767 1462 757
4003 1124 -272
5037 299 794
4331 6517 252
1296 4330 -577
2927 111 637
7895 797 -252
626 8944 214
4661 2617 -914
7827 1003 963
7572 4310 -290
717 1238 661
6960 7420 173
3609 4246 880
1762 223 738
5026 6926 -385
750 1262 -222
7177 1656 -27
895 7594 -555
7956 594 -553
3023 118 -345
4977 6953 153
7927 605 993
6396 4245 282
5157 491 250
4516 4776 -461
3925 3308 -836
3780 2014 -736
3101 7091 -11
6729 5262 -131
3507 8155 365
1928 202 967
355 7169 -437
450 4029 462
6713 7149 757
7766 8142 -557
4292 3439 -963
2817 7980 -950
3800 7183 -851
1111 2174 -650
4439 2652 -313
4331 553 -178
251 7324 987
3343 2566 -298
695 3442 -185
8446 1195 360
8209 3155 761
8095 3252 181
5691 538 -2
4708 7935 -261
8657 8115 -963
3539 74 -195
8459 578 170
1625 4088 887
6295 528 670
6258 6668 257
5932 2658 574
4327 6060 808
7123 3357 -57
8073 4826 -562
1347 6499 -287
3279 5838 212
411 8724 592
5960 1609 -203
1590 4024 855
4586 2795 599
5360 5911 -706
6765 1371 -618
7467 338 -176
3920 856 297
9051 2559 -478
2715 6774 539
1819 1874 482
4117 8278 -874
7565 2463 252
2317 8964 -795
4384 2328 281
778 8228 -701
4363 8099 366
7003 6644 371
4177 1850 615
3402 3042 -378
1317 7271 -894
4362 8788 -529
3727 4901 -486
6739 5869 -124
4242 7664 -890
3057 7047 -618
2991 8032 804
7116 5491 -209
5722 8867 912
6340 3481 284
1397 1082 123
3769 4210 -27
3132 3365 619
6620 6752 720
5517 8148 120
57 6707 610
2155 2762 -114
5029 3808 471
2478 8389 -234
2441 4716 -320
2481 5424 -235
906 3567 -626
2041 1936 -394
7091 8624 -66
4629 2119 698
3370 3329 -196
8142 1004 194
9143 7230 -85
3619 1269 -995
6783 1130 189
5991 7483 640
5217 5666 -159
326 1054 -9
4215 8383 723
5488 1856 359
7173 548 -155
6893 2832 784
3198 4078 -237
5728 3908 240
4448 86 545
3799 4661 -776
5900 4595 933
5766 6794 -184
2006 2203 270
7682 2260 419
1836 1586 -60
1213 261 -130
3785 4088 -250
3856 7390 495
5907 8137 -459
2164 3043 -305
1093 8365 -754
7339 3886 -699
3581 5775 39
3759 7821 505
2564 6397 -148
5876 141 -277
7113 6292 -329
3811 1659 178
2859 299 -40
3462 1902 -302
1854 8543 -200
4552 7581 694
9034 4001 -893
4125 1974 -388
396 6149 -586
6053 2888 962
3390 1353 -542
1176 7757 -886
579 6496 -32
6274 2675 223
2524 7652 -292
5331 300 -891
6049 7902 465
2048 2403 -148
11 6580 -64
3297 9062 -707
8831 4220 -736
4277 775 776
8303 5854 -304
5926 8782 -53
6316 4359 -811
7992 1819 -4
7671 422 -326
2464 792 305
1442 6891 551
5706 2663 -401
1290 2936 -101
6850 7415 149
1828 7561 885
7884 5328 907
2324 389 87
7649 8215 181
8321 7566 -699
4853 1918 -896
2628 7608 896
3495 203 -551
1766 2236 351
3712 2293 938
268 1939 99
1745 556 -892
4037 8211 323
3537 6186 807
3102 4885 -651
102 2618 309
5046 3293 -807
1587 8416 -336
5757 6269 594
6212 8235 -924
6317 3457 656
6992 4020 715
5166 3901 -5
4463 7855 646
5438 4408 -652
953 9075 36
4705 7576 433
7506 3627 -929
6569 5496 -516
8839 6849 -869
206 6373 -413
1123 2394 -788
2318 7244 -304
7426 6272 -506
1089 2262 155
9066 1740 -107
4265 5509 253
3597 2575 349
6418 9005 -782
8988 2604 -176
2794 7102 -571
1980 8641 882
326 2832 -411
7954 6380 160
6344 9067 -270
8401 7716 561
4776 362 512
8357 7083 700
169 1819 -643
2533 659 -843
7741 2335 -867
4791 8935 318
4365 6146 929
4467 6872 582
5519 6926 646
6991 4671 -58
3146 581 -50
2654 8439 -562
6857 116 192
7567 6531 731
8395 8227 90
5336 5502 908
8818 3684 34
9063 2715 -618
7336 735 310
4497 8423 -255
1839 5464 -436
2354 6582 873
2987 3804 44
8011 7063 940
3085 9 909
2649 5928 -698
5955 199 -426
7727 6178 -548
5556 2250 504
7681 1403 -178
8077 324 405
1098 3127 -108
7225 1994 938
8014 2966 451
764 3155 911
7306 3206 400
1154 5488 144
6038 120 -367
1178 2178 -346
8406 668 422
8038 88 747
5774 6227 136
7156 4759 423
473 714 704
8665 2760 -971
7794 2535 963
1332 6702 -386
8467 8756 -97
4841 4090 15
3341 61 720
4270 8442 1000
5082 335 606
2093 3016 -558
7345 502 766
5397 7643 -98
6597 8400 557
1782 5971 -97
5844 8096 434
690 3562 222
9122 8955 15
4820 8541 256
8191 86 -513
2835 3454 -576
7955 387 66
8257 3299 -765
2076 6737 -793
8681 2680 387
510 2952 -818
3288 2373 -521
8984 889 204
6832 8917 -487
5289 2155 -890
5947 2918 -975
398 633 -491
4551 2288 -399
1445 624 886
8586 3820 -724
1701 662 -110
4147 5147 -880
2632 7300 413
9079 6986 -197
2337 4970 -880
5293 7078 262
3554 5425 811
2828 6920 704
1719 1378 -404
4503 410 163
4283 7786 590
3705 8862 -691
3150 4656 454
6042 8812 529
8395 3765 -597
3605 6230 -312
1174 854 846
1886 5022 602
818 1349 -955
8716 8336 -223
7675 4464 -525
3920 7802 995
574 783 -539
1752 7803 298
8319 5224 -158
6401 3582 -530
802 600 -207
6090 7542 -362
4421 5229 275
36 8056 -857
3889 8378 515
597 3403 -733
8484 5577 43
861 2033 -641
1598 6178 -408
8643 5632 -132
8181 9044 -463
5931 1179 460
6414 5660 -3
1649 9001 326
5604 6663 279
6427 5353 574
1981 6770 838
6828 4775 128
8823 8163 124
3042 5018 773
215 8191 337
3132 6300 -744
5920 6571 -321
7656 713 -973
1745 6344 331
217 1439 13
2713 2887 -975
415 3462 731
8308 3469 -574
8372 624 309
5043 291 617
1014 3008 -421
7105 108 -756
5862 7431 -873
6540 5196 607
9132 8124 -493
3158 8224 -810
6201 4104 -776
7210 5732 -623
4935 8623 -741
2673 5932 953
5892 717 -642
2709 7855 -162
5113 4023 -189
5698 6225 861
8496 8750 -285
426 4420 -858
674 1116 671
3761 8733 -143
4088 3779 -13
6094 2246 -85
28 6784 -44
7059 222 73
3094 7358 587
9154 6115 -758
1972 5536 -810
2565 1429 586
920 5039 -968
8152 2292 -70
2321 2245 -114
8903 7205 509
3845 8120 -752
8520 581 -836
1101 6108 852
827 8150 393
2399 1588 163
710 8901 702
6984 2320 -253
4885 7058 -947
3176 4081 641
2564 1496 804
4464 2796 208
6113 5402 271
8722 7876 212
4259 7120 -928
3792 3157 -353
723 6653 943
341 3988 386
3768 2167 195
2547 3068 399
2934 2602 468
2510 4109 -55
1130 4731 -622
7419 8919 554
1240 4745 -556
6823 4636 373
3981 6830 -826
626 2366 -805
190 7153 -52
209 1896 -744
2252 6473 -788
3555 1322 341
8520 7584 -815
4321 8631 -114
4393 4889 -566
225 3937 952
6757 4613 -61
6180 7713 6
6888 1059 622
2388 4374 965
6535 2010 -947
4170 1067 905
5519 7409 506
4517 8314 -574
5908 3718 903
2658 2532 157
6634 299 -667
6294 8739 118
7827 6905 770
5526 7032 -494
2623 2538 388
3183 6668 396
8534 8142 -271
658 4734 675
2540 5011 452
4474 6312 -629
218 8416 -929
5274 4747 -522
5554 8493 -262
2450 5622 144
7940 1545 -224
37 1993 -814
3198 753 -586
4756 1147 -992
7254 2362 538
5535 1814 74
8005 1722 -656
1684 8714 -372
4423 4280 -172
3310 24 177
3471 6827 813
2351 8076 -922
7227 2835 -197
393 7514 -465
8837 1368 -263
3033 6727 -208
3814 5917 -127
3881 127 904
792 2006 349
8074 3304 -400
5258 24 713
1238 7512 -989
3710 1206 -894
4531 3348 716
3337 3105 311
8289 6074 111
1045 4237 457
5473 3137 -596
8366 8145 440
4988 8555 289
4485 4712 434
1006 8428 750
751 7540 490
5265 4399 -739
6376 8931 -140
3184 6926 1000
6682 3032 400
6338 8811 979
4005 5069 -961
6697 6862 577
3773 1753 -910
9026 2913 994
8544 5332 -159
1594 9030 -15
4073 779 -316
3629 5589 616
8884 8350 199
4841 4343 -401
3673 6098 -849
7239 3284 925
5654 6819 -511
5873 1439 143
1297 1396 -412
5074 5749 -649
8870 3890 236
4374 6282 774
3950 3182 -88
1144 1695 -368
7670 9136 497
1816 6952 -296
5745 3413 -125
3752 722 -419
5148 5064 514
7171 1225 771
1949 9102 566
674 3704 455
4810 3384 -922
7236 656 19
4351 3561 554
2719 1221 398
7532 8455 423
2872 2327 -942
1243 1945 -666
5870 1900 -915
365 3893 264
2341 6184 369
8659 1770 478
7382 3733 -836
1864 8426 640
6990 4676 -602
2411 2264 -709
2061 7730 -62
7487 5628 885
4233 4790 -87
6081 1223 377
1367 6558 673
1082 8866 -741
7143 5268 -413
6113 1406 -310
7622 1589 237
6350 6992 640
6860 2207 544
8693 6012 -570
5006 3855 -904
3721 1107 468
7092 8815 -172
7184 3077 184
90 5296 -818
7247 8014 202
9133 5386 -718
2767 7370 403
8414 1804 169
9008 8430 335
8024 4099 -798
4316 1935 917
1239 6454 -791
5638 1703 -618
4142 2487 -395
7950 594 -984
7156 8950 153
370 3662 -370
6437 3591 -431
3559 1379 744
6991 3099 -954
4183 2568 146
4674 230 129
398 8291 752
4377 7062 609
5915 597 964
5163 1750 298
5208 6413 -990
836 7422 -248
2745 131 60
7330 774 826
1249 1667 318
84 2258 662
6811 2988 -482
25 914 545
8299 1847 -814
8840 6197 448
2299 6612 7
2041 6787 -144
4942 2769 277
1603 4422 104
717 7757 720
5270 8906 594
8275 988 -103
7081 1728 408
5719 9009 826
6318 3053 873
3985 3805 361
3810 765 17
471 3544 796
4921 6153 -261
9118 2553 439
3458 4922 26
1478 3959 813
5383 6797 -105
5273 645 -217
5069 2936 467
6902 1981 873
5018 7494 914
6540 3216 -158
2341 4066 273
72 232 -949
8705 6613 991
6277 3742 -514
7511 1244 662
4314 8018 796
5232 1953 -251
782 2529 -587
6346 7120 -429
7669 315 -133
6475 1326 820
970 3695 129
6004 347 -170
2554 2366 -422
1628 2121 -801
869 2911 654
1401 463 523
8715 1999 -94
1489 6985 532
9014 1824 8
5459 430 -429
9058 6450 121
6656 3640 -778
4907 8513 771
7811 4076 -505
1459 5279 724
5389 8382 -160
2437 4642 -15
8824 1112 -476
6714 1691 -766
4755 1484 -817
2252 4033 714
9039 8728 -397
6705 3199 -521
5310 5002 603
4516 2489 -305
7400 638 -622
8441 8312 -628
8910 1445 -875
354 938 -497
547 2126 47
6067 6260 -766
6889 1611 787
7812 3701 554
685 5915 979
3690 4447 971
2875 3592 -38
4965 1508 973
9035 3657 -319
100 3304 291
2386 786 -142
429 5688 394
1190 6406 -950
2376 5717 118
2427 5646 -312
8082 745 -880
7095 5976 329
4907 3145 571
7950 2373 -51
7284 2249 -742
4676 2974 -351
3824 21 147
7987 6872 436
1617 1919 -814
4708 4026 -65
1668 5507 -490
4806 6582 904
2174 1104 -604
1891 3084 -590
5691 5537 -172
6662 7929 671
7116 5025 -336
7247 7472 10
4939 4194 958
3652 4594 -738
926 5370 -421
7273 1664 -478
1819 1803 656
5724 6988 786
6416 2877 544
5913 6176 309
6247 5301 -108
7090 2550 134
5973 149 -183
4996 7733 486
3236 6054 140
5368 4268 576
1757 4848 -292
8705 5078 -734
2725 6079 196
308 2236 -865
1940 1253 804
710 7995 -215
332 1132 216
5714 424 -902
1828 4290 -980
2102 4372 21
8878 5423 -941
8204 1313 -267
1770 2260 -401
5115 7265 980
2035 1273 257
1806 6379 -328
4813 7547 -355
6324 5993 -369
2723 4962 643
1633 3318 -968
4503 1344 951
5569 1398 46
1432 6603 -106
1532 5901 -122
2189 8048 -237
3902 6839 902
1703 1013 765
421 4869 -991
4032 3713 -233
4898 7766 -322
2142 3245 -581
3105 8066 834
2252 8200 -221
7613 1007 491
6949 403 -557
7792 5996 -844
5506 4801 533
4822 8196 -380
3707 6255 118
8008 6525 -836
864 8880 443
1891 5466 283
4738 6416 148
4793 1135 -475
4272 7567 458
6997 2730 213
2024 2033 496
7381 5966 -118
5849 5290 -72
7667 5772 708
1824 1329 -111
4019 7332 -776
337 4682 -765
3055 5020 626
4588 7871 480
3145 5125 834
2362 6277 67
458 3858 -165
4649 644 400
8214 4669 -634
3546 3564 -237
5158 1353 -151
999 4013 -282
6303 715 786
1072 405 743
1659 3619 555
5389 6010 765
7816 2025 -882
4053 3572 -682
7894 1416 15
1751 471 351
41 5797 -21
2738 8396 -846
6000 2345 138
4078 7017 409
7801 2231 818
7834 1607 -455
2664 6299 -354
3437 8742 52
1100 163 -330
6833 3818 953
2756 3592 72
3286 4740 404
7632 3707 -462
7760 2965 594
5786 7024 -439
2092 8416 666
3219 1986 809
1234 8602 -851
1623 6366 439
7145 409 346
4386 6800 -986
385 8801 -680
4958 1062 -21
5808 1657 -997
2830 3561 888
6149 7461 -474
835 1572 -523
4978 3117 -459
3693 4631 -775
9134 5332 906
786 843 985
763 8354 462
6603 8163 507
5051 7516 -505
1993 835 -824
4092 2078 446
8730 3864 672
1943 8921 -663
998 5386 -280
3652 8221 -7
1217 441 647
5742 1598 286
3498 8528 -669
4927 1420 -998
2407 5585 -52
7021 3112 -386
850 4930 148
3785 6612 -192
1754 54 -985
523 7391 -998
2547 6825 -652
1928 3544 38
5179 5844 -589
6507 6830 850
4467 7349 -923
2073 3804 786
3525 435 583
8762 4957 -184
7804 3601 107
4022 2052 -367
2439 4834 -410
8641 814 -28
3705 2925 497
8619 8755 922
5465 7795 553
2032 8216 554
4863 1771 -926
3785 8234 491
1834 4297 -506
9041 7385 998
23 2758 774
5448 3636 604
4948 3927 452
8518 2341 -742
8209 5260 -51
6702 4789 -230
4842 4329 803
2169 5459 -485
1618 6937 -649
608 6842 383
5938 7490 164
2918 6243 771
606 4794 7
274 1256 -709
1725 8342 -739
8917 5875 -977
1781 499 -953
1597 4589 959
5727 7497 -577
1434 7979 -926
1698 6444 -604
4655 1561 -222
1785 8262 722
1093 466 476
2214 6889 678
3930 5423 -913
7923 6073 -215
8992 3374 -560
6654 1055 -934
8830 1212 767
5692 468 175
1178 3987 435
1407 3389 463
4800 6303 536
874 7716 379
5465 2097 -738
7369 600 257
4039 3875 -861
7926 170 -758
8985 4920 811
8786 53 994
948 3008 412
3145 7752 -791
8483 6220 772
2655 3322 904
5807 3706 323
4914 6651 -304
5973 2377 783
2717 6175 -212
4289 435 641
3833 8983 -781
734 557 642
4546 6397 321
8735 720 -18
2185 733 -656
6706 8519 -806
8814 5961 954
7278 260 962
6680 3812 736
3832 4741 210
6790 7872 -7
7476 7540 -159
96 5379 54
807 4067 183
2074 2466 620
1511 3781 -601
6745 4811 626
7983 3240 -906
5965 5774 -555
2729 5370 557
7710 6612 -753
5158 16 81
2110 9079 -272
3306 4849 -423
5939 338 667
431 5693 896
3625 704 375
2994 2414 -256
8865 7839 -562
66 6740 -61
8765 6059 146
7795 7417 895
1973 4322 -342
3081 39 -138
2984 3089 170
4184 7810 302
1172 218 -536
7075 44 276
2554 5797 175
7752 7262 -70
3838 4353 -863
1247 4995 -396
5999 616 -524
1405 510 132
5171 1431 -85
6788 895 742
643 1415 630
8993 3561 556
7843 993 266
6568 7357 -709
2896 956 -601
7111 237 -479
4618 3393 828
4585 8950 -446
3035 4739 454
7388 4621 -711
4563 8658 -921
3989 5958 172
1502 3128 -31
2548 3655 -684
5789 3378 -882
5808 2385 -824
2050 4146 12
2628 5594 977
6087 2492 -547
3251 7510 765
1380 1777 550
5320 7106 -714
9026 1245 433
5218 4112 -44
7191 3339 -800
7544 7666 -959
2951 1888 681
1300 6040 -159
7758 2393 -607
6095 1127 1000
3326 4469 529
6219 5102 106
4284 9107 909
7612 4116 -771
834 8830 301
1595 1100 -495
295 3231 -813
8769 4543 -49
3001 7541 723
1295 3312 722
2106 687 85
1471 2142 -472
5568 2021 -529
1989 7299 108
480 5369 31
1406 5423 986
6813 856 372
4035 5825 -614
1597 1732 457
8506 677 38
2175 2105 -592
6150 744 721
2566 1390 -92
167 903 10
1750 6452 -73
7547 307 927
355 8269 -762
2075 2579 242
3801 8799 66
2915 7961 217
3002 2876 -824
1038 4759 -588
2234 8646 -664
3091 544 -560
5983 8587 30
736 8689 -55
4631 566 -652
4114 5729 738
1371 4574 -100
2709 8595 624
7843 3613 -683
8506 4508 716
1419 6945 862
3485 5987 348
3546 8556 368
6090 6625 976
2852 1133 168
3142 8954 687
4428 4848 556
2645 142 -501
3573 8155 -343
5808 286 473
126 9068 -9
231 3217 -333
1139 4814 -408
1527 7468 992
3713 5643 -245
6341 8780 -895
4625 8999 -167
2328 1277 133
6617 7696 -953
5328 4355 12
7601 1247 -264
6431 7628 -207
7207 851 -272
2014 4968 -979
8548 6365 68
8218 6413 976
3296 6084 180
1775 4585 -483
1973 5505 -987
2009 2763 73
1332 4460 127
3971 378 -699
1753 42 444
1131 422 -348
980 413 770
5636 3566 -954
4806 5131 -20
792 1705 534
1341 6775 -595
2569 7308 303
8654 1834 -463
594 8737 19
7873 5378 200
5246 5253 -641
2154 623 -199
8903 2384 25
247 271 510
6936 4217 -779
4734 6403 -550
508 5444 236
2399 2587 317
2831 219 620
8037 6995 622
7022 6348 -855
7091 2096 748
5121 5353 -942
3042 1984 738
3463 5677 731
2732 6284 484
5398 533 -434
8738 24 898
7986 4169 645
2017 7149 388
6817 3003 680
8180 290 -615
2357 3265 -970
6730 2948 -304
8032 3508 404
7588 7288 -52
1205 2558 585
2991 4993 141
443 6083 -24
5302 2600 -615
3185 5774 -389
7851 9107 -830
8786 8476 113
3048 5504 168
4544 3739 433
4015 802 241
5845 2543 -503
7950 7361 768
1702 4034 447
4587 203 622
1595 5817 417
3119 3277 64
7801 3943 -391
2237 2962 623
3812 6747 -977
8240 5635 -8
9126 455 -564
7494 7692 995
4619 1251 -565
796 1599 70
2285 4290 -635
1900 1249 443
1235 3275 -982
5823 3735 567
3482 7392 993
3957 2001 423
3272 7149 754
3482 4449 842
7951 492 546
927 2218 593
735 8080 994
2123 8668 816
9071 1232 -725
393 4905 175
1168 1857 -662
247 1302 -25
287 8458 398
937 4608 374
8814 83 -798
8931 6516 243
736 3840 838
3482 3589 448
6526 5022 212
4895 3281 693
5650 3566 -275
6331 6025 -352
8072 5406 -514
8586 6339 955
4275 7494 571
4195 3880 352
5464 6102 233
3630 2141 -268
6850 5313 872
1510 8437 -500
6987 2182 -50
6819 7402 526
8086 82 -642
7128 2247 441
5810 5512 464
8711 5916 125
9030 312 -339
987 3247 159
889 6332 499
4696 4605 750
9007 4098 209
6520 6824 -531
2032 5594 878
3613 559 25
8795 8813 -171
6138 2197 -576
777 8160 -251
1501 8677 931
9003 5580 460
3849 1616 -339
4021 4283 944
8773 467 617
6449 7918 467
833 3986 871
4187 2733 373
170 6751 -568
1122 6333 -539
1399 6216 581
4502 1392 794
2958 2358 528
3100 4044 750
7392 2280 -777
225 2484 521
6144 8835 246
1166 1504 -654
3126 5751 -675
5489 3957 -971
312 4575 -135
9096 4364 805
7799 8856 496
7413 1075 8
1759 3802 850
5503 3334 -76
5118 227 -920
1536 4295 -137
5134 6816 827
7610 2801 39
6378 2700 465
8011 3284 -461
699 5050 -390
517 755 -662
557 2019 481
522 8163 -293
2978 3598 -145
3776 7629 -562
3166 3733 -667
2331 2892 955
7181 5781 575
2142 5567 511
5868 7046 598
5460 5530 315
4107 7133 257
8507 1496 -601
2103 7620 -298
6789 1028 -88
1718 7666 422
8095 7183 124
2185 7140 -259
2486 4707 120
442 8547 350
8746 245 463
5272 3643 -609
1399 2313 -215
8847 3710 251
1315 2546 -262
4655 4738 -142
6424 2141 609
3430 5110 465
5491 9070 354
1963 5374 299
9067 8249 -15
1462 4662 808
474 372 155
3240 5741 -261
7006 7620 -309
893 3420 936
4332 8482 -926
344 5301 195
2218 6213 897
3025 1584 -789
4188 2145 369
8601 855 41
3356 7443 -631
3578 1973 -287
365 1076 456
5411 905 326
1639 1125 958
2679 2357 -937
6492 8845 -338
6022 4006 766
5275 7831 558
3392 5074 696
5428 7644 820
4675 3774 -976
251 6208 165
6114 5534 -451
5629 2149 679
2359 1077 530
5538 2013 -668
3083 5032 150
6076 3507 106
4157 6134 -703
5722 2182 911
3389 5351 -551
7784 659 272
2920 1655 934
2054 8080 -121
4159 7648 -640
243 7126 -463
7244 4040 450
4403 7549 563
7308 5411 -12
5198 2639 -659
2242 5419 720
7340 250 487
5488 2422 204
3843 2566 -270
1073 8648 74
8553 2469 -568
220 4264 634
543 7083 -532
2813 1006 -599
5046 2901 -495
5081 5933 -199
379 8588 -431
7928 2006 298
8409 6005 -541
454 7700 -376
2931 3848 283
5771 4101 646
7856 6769 -950
5452 773 898
2107 3727 -908
4463 7117 -680
8984 6470 -32
3969 3642 -756
287 6236 681
4529 3420 -942
5427 4432 -960
9008 5859 438
4360 8554 719
7481 421 -760
3875 62 697
4601 8216 635
1405 4534 517
3552 2419 600
7441 3200 -733
203 1492 946
1322 3384 -329
1362 8724 191
8561 2989 -264
8419 1308 -536
5609 8825 -140
3714 961 485
464 4929 -929
8173 7540 604
6957 6358 -795
871 5696 -424
7805 3568 -116
7702 4790 296
3542 1138 -188
5412 5549 -64
2195 6856 -683
8555 1182 -106
6473 1019 -112
7801 2782 -238
5197 1441 -416
2717 2150 -811
2491 3280 799
5118 6586 420
281 5415 398
1201 9044 875
6870 6626 -947
1119 25 173
4599 438 -669
2197 8140 -838
6464 2829 602
2292 2440 -291
2121 4902 163
9093 6212 -836
1008 2830 646
7617 5540 392
8830 8049 -170
601 3276 -193
5645 714 918
6533 1440 753
2968 60 -265
6496 5435 -641
7381 197 -936
217 4533 -427
8113 6837 968
5001 291 472
1264 352 168
2582 505 110
8318 4163 -60
2255 3829 -147
6374 4546 31
4296 4364 309
459 6536 -554
7969 2051 -564
2489 2345 189
919 8501 -856
7948 1322 610
4590 8802 742
6812 9097 -553
7911 8937 286
6178 5376 -537
1195 5297 -320
4500 1265 888
866 2135 176
8139 1738 205
7393 3693 -383
2613 1859 340
282 7689 -62
931 3811 994
8100 6536 -815
2323 3529 -641
2339 4298 85
4647 1226 -920
5416 1083 892
3320 6687 314
4720 6323 -892
1824 4018 380
521 3853 -9
7622 8021 -717
3051 6096 35
8225 3140 731
5316 5866 -207
4819 1840 947
2069 4546 740
5198 4549 334
332 2001 -427
7918 2485 -911
8956 4557 -194
4618 4189 523
4060 1863 -366
3318 1381 93
5429 6241 248
7869 1973 -933
8655 7880 -454
2901 1283 194
3912 4249 -203
1478 4846 -175
4977 9010 824
2336 2389 -926
804 8656 -334
2607 24 -285
4798 1437 -995
1974 2801 -267
2994 3121 -901
716 2795 58
8328 444 42
2132 4012 -228
6669 9024 282
1308 3303 753
3937 6494 -524
8169 7219 785
1537 7690 -667
2764 8812 663
8892 8765 -508
1986 4487 -675
4851 216 624
4695 3561 -338
8084 4992 887
4281 6268 217
8987 8054 -593
3877 9046 699
1411 2277 -668
2303 6661 915
2766 7337 702
6825 7342 -662
5706 7671 105
9050 7932 499
8586 5250 796
8204 7967 -183
2675 6264 -856
658 7644 468
3216 5432 406
7309 3730 -886
4316 5832 62
3561 8745 -110
3717 1812 -197
5981 4280 373
1928 1789 829
1683 1792 639
2389 6024 -32
6665 8129 109
5000 1595 -855
3855 6239 468
2562 4924 -310
4987 4 -578
943 7666 97
7663 2239 -233
1387 2884 911
3828 4520 927
7977 6029 858
6075 5781 837
7146 8835 175
420 3940 760
3096 4419 958
4743 5308 147
2897 7845 324
2819 3102 30
8095 8235 -486
2305 6852 305
9042 5861 179
2621 6048 -213
3930 7261 -357
7657 4052 -493
5892 5330 -407
5243 1257 859
6540 1715 -39
8352 343 532
3396 6371 558
5499 5162 -772
7764 6394 -248
4964 6777 -188
8853 6361 880
8465 5128 73
8135 7566 658
6594 4679 -145
2966 4982 -880
7428 6640 -434
159 7334 444
2815 3924 -894
618 3400 331
1648 910 -776
2867 143 356
6819 7064 967
5708 6342 274
8433 2190 511
2479 8277 -542
7787 235 630
3880 6681 278
3651 8283 536
2479 5118 371
7551 4803 -560
4602 6980 171
2134 6175 313
6545 4130 491
2613 338 222
7079 7037 -25
414 2745 -564
1336 4418 348
4551 422 -156
8297 6475 -565
8537 7483 977
3962 7203 304
2148 2972 -870
367 6435 -779
5759 6512 900
2618 6502 -400
695 3075 75
2249 2796 -56
2831 5378 194
7352 4765 -782
5746 4566 -972
1295 8593 -388
4279 2228 653
8398 1098 401
2804 246 650
9057 4359 857
1076 3170 204
4422 2312 -347
5050 752 268
1562 1594 -489
4495 7276 648
8878 3279 -350
782 3312 -339
1434 5065 612
818 2405 -765
6146 6175 -667
3760 5845 932
7245 508 61
234 1732 -889
